2022-11-18 06:46:32,778 INFO    MainThread:97695 [wandb_setup.py:_flush():68] Configure stats pid to 97695
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/.config/wandb/settings
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/input/code/dkt/wandb/settings
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_setup.py:_flush():68] Applying login settings: {'mode': 'offline'}
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_init.py:_log_setup():476] Logging user logs to /opt/ml/input/code/dkt/wandb/offline-run-20221118_064632-avlvy2y1/logs/debug.log
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_init.py:_log_setup():477] Logging internal logs to /opt/ml/input/code/dkt/wandb/offline-run-20221118_064632-avlvy2y1/logs/debug-internal.log
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_init.py:init():516] calling init triggers
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'seed': 42, 'device': 'cuda', 'data_dir': '/opt/ml/input/data/', 'asset_dir': 'asset/', 'file_name': 'train_data.csv', 'model_dir': 'models/', 'model_name': 'model.pt', 'output_dir': 'output/', 'test_file_name': 'test_data.csv', 'max_seq_len': 20, 'num_workers': 1, 'hidden_dim': 64, 'n_layers': 2, 'n_heads': 2, 'drop_out': 0.2, 'n_epochs': 20, 'batch_size': 64, 'lr': 0.0001, 'clip_grad': 10, 'patience': 5, 'log_steps': 50, 'model': 'lstm', 'optimizer': 'adam', 'scheduler': 'plateau', 'n_questions': 9455, 'n_test': 1538, 'n_tag': 913}
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_init.py:init():569] starting backend
2022-11-18 06:46:32,779 INFO    MainThread:97695 [wandb_init.py:init():573] setting up manager
2022-11-18 06:46:32,782 INFO    MainThread:97695 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-18 06:46:32,784 INFO    MainThread:97695 [wandb_init.py:init():580] backend started and connected
2022-11-18 06:46:32,787 INFO    MainThread:97695 [wandb_init.py:init():658] updated telemetry
2022-11-18 06:46:32,788 INFO    MainThread:97695 [wandb_init.py:init():728] starting run threads in backend
2022-11-18 06:46:36,960 INFO    MainThread:97695 [wandb_run.py:_console_start():1980] atexit reg
2022-11-18 06:46:36,961 INFO    MainThread:97695 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-18 06:46:36,961 INFO    MainThread:97695 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-18 06:46:36,961 INFO    MainThread:97695 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-18 06:46:36,961 INFO    MainThread:97695 [wandb_init.py:init():765] run started, returning control to user process
2022-11-18 06:46:48,193 WARNING MsgRouterThr:97695 [router.py:message_loop():77] message_loop has been closed
