2022-11-25 02:07:16,948 INFO    MainThread:87674 [wandb_setup.py:_flush():68] Configure stats pid to 87674
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/.config/wandb/settings
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/input/code/dkt_v2/wandb/settings
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_init.py:_log_setup():476] Logging user logs to /opt/ml/input/code/dkt_v2/wandb/run-20221125_020716-gfe0mzag/logs/debug.log
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_init.py:_log_setup():477] Logging internal logs to /opt/ml/input/code/dkt_v2/wandb/run-20221125_020716-gfe0mzag/logs/debug-internal.log
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_init.py:init():516] calling init triggers
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'seed': 42, 'device': 'cuda', 'data_dir': '/opt/ml/input/data/', 'asset_dir': 'asset/', 'file_name': 'train_feature_engineering.csv', 'model_dir': 'models/', 'model_name': 'model_lstmattn_without_cont.pt', 'output_dir': 'output/', 'output_file_name': 'submission.csv', 'test_file_name': 'test_feature_engineering.csv', 'cate_cols': ['assessmentItemID', 'testId', 'KnowledgeTag', 'assessmentItemID_last', 'testId_first', 'testId_last'], 'cont_cols': ['elapsed'], 'max_seq_len': 20, 'num_workers': 1, 'embed_dim': 64, 'hidden_dim': 64, 'n_layers': 2, 'n_heads': 2, 'drop_out': 0.2, 'n_epochs': 20, 'batch_size': 64, 'lr': 0.0001, 'clip_grad': 10, 'patience': 5, 'log_steps': 50, 'model': 'lstmattn', 'optimizer': 'adam', 'scheduler': 'plateau', 'offset': 12124}
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_init.py:init():569] starting backend
2022-11-25 02:07:16,949 INFO    MainThread:87674 [wandb_init.py:init():573] setting up manager
2022-11-25 02:07:16,951 INFO    MainThread:87674 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-25 02:07:16,953 INFO    MainThread:87674 [wandb_init.py:init():580] backend started and connected
2022-11-25 02:07:16,956 INFO    MainThread:87674 [wandb_init.py:init():658] updated telemetry
2022-11-25 02:07:16,956 INFO    MainThread:87674 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-25 02:07:17,436 INFO    MainThread:87674 [wandb_run.py:_on_init():2000] communicating current version
2022-11-25 02:07:17,483 INFO    MainThread:87674 [wandb_run.py:_on_init():2004] got version response 
2022-11-25 02:07:17,484 INFO    MainThread:87674 [wandb_init.py:init():728] starting run threads in backend
2022-11-25 02:07:21,366 INFO    MainThread:87674 [wandb_run.py:_console_start():1980] atexit reg
2022-11-25 02:07:21,366 INFO    MainThread:87674 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-25 02:07:21,366 INFO    MainThread:87674 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-25 02:07:21,366 INFO    MainThread:87674 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-25 02:07:21,367 INFO    MainThread:87674 [wandb_init.py:init():765] run started, returning control to user process
2022-11-25 03:07:07,987 WARNING MsgRouterThr:87674 [router.py:message_loop():77] message_loop has been closed
