2022-11-29 08:11:21,859 INFO    Thread-38 :88577 [wandb_setup.py:_flush():68] Configure stats pid to 88577
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/.config/wandb/settings
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/input/code/dkt_v3/wandb/settings
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'sweep_tutorial', 'entity': 'minsukang', 'root_dir': '/opt/ml/input/code/dkt_v3', 'run_id': 'gcqt2apn', 'sweep_param_path': '/opt/ml/input/code/dkt_v3/wandb/sweep-zkmepk14/config-gcqt2apn.yaml', 'sweep_id': 'zkmepk14'}
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'sweep.py', 'program': 'sweep.py'}
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_init.py:_log_setup():476] Logging user logs to /opt/ml/input/code/dkt_v3/wandb/run-20221129_081121-gcqt2apn/logs/debug.log
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_init.py:_log_setup():477] Logging internal logs to /opt/ml/input/code/dkt_v3/wandb/run-20221129_081121-gcqt2apn/logs/debug-internal.log
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_init.py:init():516] calling init triggers
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 256, 'dropout': 0.3, 'embed_dim': 32, 'hidden_dim': 128, 'lr': 0.0001, 'max_seq_len': 46, 'n_epochs': 100, 'n_heads': 2, 'n_layers': 2, 'optimizer': 'adam', 'patience': 5, 'scheduler': 'plateau'}
config: {}
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_init.py:init():569] starting backend
2022-11-29 08:11:21,860 INFO    Thread-38 :88577 [wandb_init.py:init():573] setting up manager
2022-11-29 08:11:21,864 INFO    Thread-38 :88577 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-29 08:11:21,867 INFO    Thread-38 :88577 [wandb_init.py:init():580] backend started and connected
2022-11-29 08:11:21,872 INFO    Thread-38 :88577 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 256, 'dropout': 0.3, 'embed_dim': 32, 'hidden_dim': 128, 'lr': 0.0001, 'max_seq_len': 46, 'n_epochs': 100, 'n_heads': 2, 'n_layers': 2, 'optimizer': 'adam', 'patience': 5, 'scheduler': 'plateau'}
2022-11-29 08:11:21,874 INFO    Thread-38 :88577 [wandb_init.py:init():658] updated telemetry
2022-11-29 08:11:21,874 INFO    Thread-38 :88577 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-29 08:11:22,327 INFO    Thread-38 :88577 [wandb_run.py:_on_init():2000] communicating current version
2022-11-29 08:11:22,380 INFO    Thread-38 :88577 [wandb_run.py:_on_init():2004] got version response 
2022-11-29 08:11:22,380 INFO    Thread-38 :88577 [wandb_init.py:init():728] starting run threads in backend
2022-11-29 08:11:26,358 INFO    Thread-38 :88577 [wandb_run.py:_console_start():1980] atexit reg
2022-11-29 08:11:26,358 INFO    Thread-38 :88577 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-29 08:11:26,358 INFO    Thread-38 :88577 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-29 08:11:26,358 INFO    Thread-38 :88577 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-29 08:11:26,359 INFO    Thread-38 :88577 [wandb_init.py:init():765] run started, returning control to user process
2022-11-29 08:11:26,360 INFO    Thread-38 :88577 [wandb_run.py:_config_callback():1160] config_cb None None {'seed': 42, 'data_dir': '/opt/ml/input/data/', 'asset_dir': 'asset/', 'file_name': 'train_feature_engineering.csv', 'model_dir': 'models/', 'model_name': 'model.pt', 'output_dir': 'output/', 'output_file_name': 'submission.csv', 'test_file_name': 'test_feature_engineering.csv', 'cate_cols': ['assessmentItemID', 'testId', 'KnowledgeTag', 'assessmentItemID_last', 'testId_first', 'testId_last'], 'cont_cols': ['elapsed', 'accuracy_by_assessment', 'accuracy_by_test', 'accuracy_by_tag', 'accuracy_by_assessment_last', 'accuracy_by_test_first', 'accuracy_by_test_last', 'prior_ac_count', 'prior_quest_count', 'prior_ac_accuracy', 'prior_relative_ac_sum', 'prior_relative_accuracy', 'prior_assessment_frequency', 'prior_test_frequency', 'prior_tags_frequency', 'diff_time_btw_tags', 'prev_tag_answer'], 'num_workers': 1, 'clip_grad': 10, 'log_steps': 50, 'model': 'bert'}
2022-11-29 08:11:26,361 INFO    Thread-38 :88577 [wandb_config.py:__setitem__():148] config set device = cuda - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f8a52e127c0>>
2022-11-29 08:11:26,361 INFO    Thread-38 :88577 [wandb_run.py:_config_callback():1160] config_cb device cuda None
2022-11-29 08:11:38,424 INFO    Thread-38 :88577 [wandb_config.py:__setitem__():148] config set offset = 12124 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f8a52e127c0>>
2022-11-29 08:11:38,425 INFO    Thread-38 :88577 [wandb_run.py:_config_callback():1160] config_cb offset 12124 None
2022-11-29 08:11:45,822 INFO    Thread-38 :88577 [wandb_config.py:__setitem__():148] config set total_steps = 12800 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f8a52e127c0>>
2022-11-29 08:11:45,823 INFO    Thread-38 :88577 [wandb_run.py:_config_callback():1160] config_cb total_steps 12800 None
2022-11-29 08:11:45,823 INFO    Thread-38 :88577 [wandb_config.py:__setitem__():148] config set warmup_steps = 1280 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f8a52e127c0>>
2022-11-29 08:11:45,823 INFO    Thread-38 :88577 [wandb_run.py:_config_callback():1160] config_cb warmup_steps 1280 None
2022-11-29 08:12:48,330 INFO    Thread-38 :88577 [wandb_run.py:_finish():1746] finishing run minsukang/sweep_tutorial/gcqt2apn
2022-11-29 08:12:48,330 INFO    Thread-38 :88577 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-29 08:12:48,330 INFO    Thread-38 :88577 [wandb_run.py:_restore():1932] restore
2022-11-29 08:12:48,330 INFO    Thread-38 :88577 [wandb_run.py:_restore():1938] restore done
2022-11-29 08:12:53,163 INFO    Thread-38 :88577 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-29 08:12:53,164 INFO    Thread-38 :88577 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-29 08:12:53,167 INFO    Thread-38 :88577 [wandb_run.py:_footer_sync_info():3333] logging synced files
