2022-11-30 09:13:58,335 INFO    MainThread:10911 [wandb_setup.py:_flush():68] Configure stats pid to 10911
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/.config/wandb/settings
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/input/code/dkt_v3/wandb/settings
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'minsukang', 'project': 'dkt-v3', 'sweep_id': 'g7hvl697', 'root_dir': '/opt/ml/input/code/dkt_v3', 'run_id': 'jcb81h24', 'sweep_param_path': '/opt/ml/input/code/dkt_v3/wandb/sweep-g7hvl697/config-jcb81h24.yaml'}
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_init.py:_log_setup():476] Logging user logs to /opt/ml/input/code/dkt_v3/wandb/run-20221130_091358-jcb81h24/logs/debug.log
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_init.py:_log_setup():477] Logging internal logs to /opt/ml/input/code/dkt_v3/wandb/run-20221130_091358-jcb81h24/logs/debug-internal.log
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_init.py:init():516] calling init triggers
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 128, 'drop_out': 0.5, 'embed_dim': 16, 'hidden_dim': 512, 'lr': 0.001, 'max_seq_len': 5, 'model': 'lstmattn', 'n_epochs': 100, 'n_heads': 1, 'n_layers': 7, 'patience': 10}
config: {'seed': 42, 'device': 'cuda', 'data_dir': '/opt/ml/input/data/', 'asset_dir': 'asset/', 'file_name': 'total_except.csv', 'model_dir': 'models/', 'model_name': 'model.pt', 'output_dir': 'output/', 'output_file_name': 'submission.csv', 'test_file_name': 'test_feature_engineering.csv', 'cate_cols': ['assessmentItemID', 'testId', 'KnowledgeTag', 'assessmentItemID_last', 'testId_first', 'testId_last'], 'cont_cols': ['elapsed', 'accuracy_by_assessment', 'accuracy_by_test', 'accuracy_by_tag', 'accuracy_by_assessment_last', 'accuracy_by_test_first', 'accuracy_by_test_last', 'prior_ac_count', 'prior_quest_count', 'prior_ac_accuracy', 'prior_relative_ac_sum', 'prior_relative_accuracy', 'prior_assessment_frequency', 'prior_test_frequency', 'prior_tags_frequency', 'diff_time_btw_tags', 'prev_tag_answer'], 'max_seq_len': 5, 'stride': 20, 'num_workers': 1, 'embed_dim': 16, 'hidden_dim': 512, 'n_layers': 7, 'n_heads': 1, 'drop_out': 0.5, 'n_epochs': 100, 'batch_size': 128, 'lr': 0.001, 'clip_grad': 10, 'patience': 10, 'log_steps': 50, 'model': 'lstmattn', 'optimizer': 'adam', 'scheduler': 'plateau', 'offset': 12124}
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_init.py:init():569] starting backend
2022-11-30 09:13:58,336 INFO    MainThread:10911 [wandb_init.py:init():573] setting up manager
2022-11-30 09:13:58,340 INFO    MainThread:10911 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-30 09:13:58,348 INFO    MainThread:10911 [wandb_init.py:init():580] backend started and connected
2022-11-30 09:13:58,352 INFO    MainThread:10911 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 128, 'drop_out': 0.5, 'embed_dim': 16, 'hidden_dim': 512, 'lr': 0.001, 'max_seq_len': 5, 'model': 'lstmattn', 'n_epochs': 100, 'n_heads': 1, 'n_layers': 7, 'patience': 10}
2022-11-30 09:13:58,354 INFO    MainThread:10911 [wandb_init.py:init():658] updated telemetry
2022-11-30 09:13:58,355 INFO    MainThread:10911 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-30 09:13:58,840 INFO    MainThread:10911 [wandb_run.py:_on_init():2000] communicating current version
2022-11-30 09:13:58,880 INFO    MainThread:10911 [wandb_run.py:_on_init():2004] got version response 
2022-11-30 09:13:58,880 INFO    MainThread:10911 [wandb_init.py:init():728] starting run threads in backend
2022-11-30 09:14:02,672 INFO    MainThread:10911 [wandb_run.py:_console_start():1980] atexit reg
2022-11-30 09:14:02,672 INFO    MainThread:10911 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-30 09:14:02,672 INFO    MainThread:10911 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-30 09:14:02,672 INFO    MainThread:10911 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-30 09:14:02,673 INFO    MainThread:10911 [wandb_init.py:init():765] run started, returning control to user process
2022-11-30 09:31:25,523 WARNING MsgRouterThr:10911 [router.py:message_loop():77] message_loop has been closed
